customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_category
67935,California,No,Basic,College,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special
37417,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer1,Call Center,SUV,Small,Personal
29312,Oregon,No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,Personal
61619,Oregon,No,Premium,Master,Disabled,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
86811,Arizona,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
83859,California,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,Personal
63582,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer1,Agent,Two-Door Car,Small,Personal
71951,California,No,Basic,High School or Below,Employed,F,Rural,Married,Offer1,Agent,SUV,Medsize,Personal
37082,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer3,Branch,Four-Door Car,Large,Personal
52139,Washington,No,Basic,College,Employed,M,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Personal
82372,Oregon,No,Basic,College,Employed,F,Suburban,Divorced,Offer1,Agent,SUV,Medsize,Corporate
45816,Arizona,No,Extended,High School or Below,Employed,F,Urban,Married,Offer4,Branch,Two-Door Car,Small,Personal
33762,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Large,Personal
33670,California,No,Premium,College,Disabled,F,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Personal
70169,Oregon,No,Basic,High School or Below,Employed,M,Rural,Divorced,Offer4,Agent,SUV,Medsize,Personal
91628,Oregon,No,Basic,Master,Employed,M,Rural,Married,Offer2,Web,Two-Door Car,Large,Personal
87852,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
20453,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer1,Agent,Sports Car,Medsize,Personal
87372,Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Offer2,Branch,Two-Door Car,Medsize,Personal
23800,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal
87709,Oregon,No,Basic,High School or Below,Employed,F,Rural,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal
13033,Nevada,No,Basic,College,Employed,M,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
31673,Washington,No,Extended,College,Employed,M,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
82309,California,No,Basic,Bachelor,Employed,M,Rural,Single,Offer2,Branch,Luxury Car,Small,Personal
35962,California,No,Extended,College,Unemployed,F,Rural,Single,Offer3,Branch,Two-Door Car,Large,Personal
85817,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal
85712,California,No,Basic,Doctor,Employed,M,Suburban,Married,Offer3,Branch,SUV,Medsize,Personal
88573,Nevada,No,Basic,Master,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal
19467,Oregon,No,Extended,College,Disabled,F,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal
88410,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
79815,California,Yes,Extended,College,Retired,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
35222,California,No,Basic,Bachelor,Employed,F,Urban,Married,Offer3,Web,Four-Door Car,Medsize,Corporate
15590,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Offer3,Branch,Four-Door Car,Medsize,Personal
48267,California,Yes,Extended,College,Employed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
67916,Oregon,No,Premium,College,Medical Leave,M,Suburban,Married,Offer2,Branch,Two-Door Car,Small,Personal
75231,Washington,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Corporate
33664,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate
30175,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer1,Branch,Two-Door Car,Small,Corporate
44465,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
87155,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Large,Personal
48895,Arizona,No,Basic,Master,Medical Leave,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal
30757,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Offer3,Web,Four-Door Car,Medsize,Personal
30935,Oregon,No,Extended,College,Employed,M,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Personal
93476,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
96670,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
64261,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Offer3,Call Center,Two-Door Car,Medsize,Corporate
68375,California,Yes,Premium,College,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
51653,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer1,Web,SUV,Medsize,Personal
96662,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Offer1,Call Center,Four-Door Car,Small,Personal
52087,California,No,Basic,Bachelor,Employed,F,Rural,Married,Offer3,Branch,Four-Door Car,Medsize,Personal
75225,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
80820,California,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Agent,Two-Door Car,Medsize,Personal
99037,Oregon,No,Basic,College,Employed,M,Urban,Married,Offer4,Agent,Four-Door Car,Medsize,Corporate
57118,California,No,Extended,College,Employed,M,Suburban,Married,Offer4,Agent,Four-Door Car,Small,Personal
74870,Washington,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Offer2,Web,Four-Door Car,Small,Corporate
14219,Arizona,No,Basic,College,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Personal
20603,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
48975,Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal
70886,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer1,Agent,SUV,Medsize,Corporate
72557,Oregon,Yes,Extended,High School or Below,Retired,M,Suburban,Divorced,Offer2,Agent,SUV,Medsize,Personal
28638,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal
55033,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,Personal
88645,California,No,Extended,College,Employed,F,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate
36855,Washington,No,Extended,College,Unemployed,M,Suburban,Married,Offer3,Web,Two-Door Car,Medsize,Personal
82151,California,No,Basic,Bachelor,Employed,M,Rural,Married,Offer1,Call Center,Sports Car,Medsize,Personal
22043,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer3,Branch,Two-Door Car,Small,Personal
36774,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer3,Web,Luxury SUV,Medsize,Personal
43724,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
85960,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal
55993,Oregon,No,Extended,Master,Employed,F,Rural,Single,Offer2,Branch,Four-Door Car,Medsize,Personal
36627,Arizona,No,Extended,College,Employed,M,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,Special
48047,Oregon,Yes,Basic,College,Retired,M,Suburban,Divorced,Offer2,Web,Four-Door Car,Medsize,Personal
50392,Washington,No,Basic,Master,Unemployed,F,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
65059,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer1,Agent,Sports Car,Medsize,Personal
21968,Nevada,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,Special
87025,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
13499,Arizona,No,Premium,College,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
44523,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Offer1,Web,Four-Door Car,Small,Corporate
41162,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
25891,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Offer1,Branch,Sports Car,Medsize,Special
81636,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal
26335,Oregon,No,Extended,College,Employed,F,Urban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal
95587,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Offer3,Branch,Four-Door Car,Small,Special
81757,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Offer4,Web,Two-Door Car,Large,Personal
94107,Arizona,No,Premium,Master,Employed,M,Urban,Married,Offer1,Call Center,SUV,Medsize,Personal
84436,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer3,Branch,Sports Car,Medsize,Personal
64727,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Offer3,Agent,SUV,Medsize,Corporate
19287,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Large,Personal
18643,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Offer4,Web,Four-Door Car,Medsize,Corporate
82578,California,No,Basic,College,Unemployed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Corporate
67861,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Medsize,Corporate
43143,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Offer2,Web,Four-Door Car,Medsize,Personal
59571,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Large,Corporate
83998,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Offer4,Branch,Four-Door Car,Small,Personal
25797,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Offer2,Agent,Sports Car,Medsize,Personal
27940,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Offer4,Agent,SUV,Medsize,Personal
77946,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal
50253,California,No,Basic,Bachelor,Employed,F,Urban,Single,Offer2,Branch,Four-Door Car,Medsize,Personal
15332,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal
62865,Oregon,No,Extended,College,Employed,M,Rural,Single,Offer3,Agent,Four-Door Car,Medsize,Personal
15295,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
61892,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Offer2,Agent,Sports Car,Medsize,Personal
94884,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Web,Two-Door Car,Large,Personal
87334,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,Corporate
93326,Washington,No,Basic,College,Employed,F,Urban,Married,Offer1,Agent,SUV,Medsize,Personal
74911,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Offer1,Agent,SUV,Medsize,Personal
69864,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
53154,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
78966,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
13702,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
10809,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
87217,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Offer3,Agent,Four-Door Car,Medsize,Personal
95618,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
19868,California,No,Basic,College,Medical Leave,M,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal
45550,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Offer2,Agent,Four-Door Car,Medsize,Personal
87004,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Offer3,Agent,Four-Door Car,Medsize,Personal
75747,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Offer3,Agent,Four-Door Car,Small,Personal
91392,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal
72731,California,No,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Call Center,Sports Car,Medsize,Personal
49126,Washington,No,Basic,College,Employed,F,Rural,Married,Offer2,Agent,SUV,Medsize,Personal
12901,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal
37561,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Offer3,Web,Two-Door Car,Medsize,Personal
90090,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Offer2,Call Center,Sports Car,Small,Personal
25463,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
11055,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Offer3,Branch,Luxury Car,Medsize,Personal
33979,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Large,Personal
71023,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Small,Personal
13432,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
97704,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Offer3,Call Center,SUV,Small,Personal
46533,California,No,Basic,College,Employed,F,Suburban,Single,Offer2,Branch,SUV,Medsize,Corporate
47431,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Offer2,Agent,SUV,Medsize,Personal
73582,California,No,Extended,Bachelor,Employed,F,Urban,Single,Offer3,Branch,Four-Door Car,Medsize,Personal
98763,Oregon,No,Extended,College,Employed,M,Urban,Married,Offer3,Branch,Four-Door Car,Medsize,Personal
62831,California,No,Basic,Master,Employed,M,Urban,Married,Offer4,Web,SUV,Medsize,Special
33449,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Offer4,Branch,Two-Door Car,Small,Special
85083,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal
95328,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer4,Agent,Two-Door Car,Small,Personal
21086,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Offer1,Branch,Four-Door Car,Small,Personal
83902,Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
62651,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Offer4,Web,Luxury SUV,Medsize,Corporate
25874,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Offer1,Branch,Four-Door Car,Medsize,Special
41854,Washington,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer3,Branch,Two-Door Car,Medsize,Personal
70227,California,Yes,Extended,College,Employed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
22297,California,No,Premium,Master,Disabled,F,Suburban,Single,Offer1,Call Center,SUV,Medsize,Personal
14138,Nevada,Yes,Extended,Bachelor,Retired,F,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
62808,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate
64745,California,No,Basic,College,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
34139,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Offer1,Call Center,Four-Door Car,Medsize,Personal
11219,California,No,Basic,College,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
12304,California,No,Basic,College,Employed,F,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
64087,California,No,Premium,College,Employed,M,Suburban,Married,Offer1,Branch,SUV,Small,Corporate
38576,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Offer2,Agent,SUV,Medsize,Corporate
76355,Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Offer3,Web,Four-Door Car,Medsize,Personal
66913,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Offer2,Agent,Two-Door Car,Small,Personal
95702,California,Yes,Basic,College,Retired,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Special
54357,Washington,No,Extended,College,Employed,M,Urban,Married,Offer2,Web,Two-Door Car,Small,Corporate
78112,California,No,Basic,High School or Below,Employed,F,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,Special
16891,Arizona,No,Basic,College,Employed,M,Suburban,Divorced,Offer4,Agent,Four-Door Car,Small,Personal
31350,Oregon,No,Extended,College,Employed,F,Suburban,Married,Offer4,Call Center,Four-Door Car,Large,Corporate
30924,Oregon,No,Premium,College,Employed,M,Urban,Married,Offer4,Agent,Sports Car,Small,Corporate
78748,Oregon,Yes,Extended,High School or Below,Disabled,F,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Special
33386,Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Offer1,Web,Sports Car,Medsize,Personal
44221,California,No,Basic,College,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
60013,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer3,Branch,Four-Door Car,Medsize,Personal
21533,California,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal
94121,Nevada,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Small,Personal
68427,Washington,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Offer2,Branch,Two-Door Car,Small,Personal
49565,Oregon,No,Basic,College,Disabled,F,Suburban,Married,Offer2,Call Center,SUV,Small,Personal
88421,Oregon,No,Extended,College,Employed,F,Suburban,Married,Offer3,Branch,Four-Door Car,Medsize,Personal
51983,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,Personal
88896,Nevada,Yes,Basic,High School or Below,Employed,F,Rural,Single,Offer2,Agent,Four-Door Car,Medsize,Corporate
22553,Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Offer1,Agent,SUV,Small,Corporate
14435,California,No,Basic,Bachelor,Disabled,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Corporate
84099,Arizona,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Corporate
24911,Arizona,Yes,Basic,College,Employed,M,Urban,Single,Offer2,Agent,Two-Door Car,Medsize,Personal
26461,Arizona,No,Extended,High School or Below,Employed,M,Urban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
14283,Oregon,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Offer1,Web,SUV,Small,Personal
50227,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,Personal
36570,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer1,Branch,Two-Door Car,Small,Personal
17484,California,No,Basic,Bachelor,Employed,F,Rural,Married,Offer1,Web,Four-Door Car,Large,Personal
41158,Washington,No,Extended,College,Employed,M,Urban,Divorced,Offer2,Branch,SUV,Large,Corporate
87348,Washington,No,Basic,College,Unemployed,M,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal
55857,Washington,No,Basic,Bachelor,Employed,F,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal
66923,Nevada,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer2,Agent,Two-Door Car,Small,Corporate
24514,Arizona,No,Basic,College,Employed,F,Rural,Married,Offer3,Agent,Four-Door Car,Large,Personal
